Execution,ID,Interval,Transfer,Bandwidth
2,4,32.0000,2.24,18.8
2,2,32.0000,2.42,20.3
2,1,32.0000,2.75,23.1
2,3,32.0000,3.91,32.8
2,3,33.0000,2.17,18.2
2,4,33.0000,2.18,18.3
2,2,33.0000,2.31,19.3
2,1,33.0000,4.12,34.6
2,3,34.0000,2.67,22.4
2,4,34.0000,2.42,20.3
2,2,34.0000,2.11,17.7
2,1,34.4617,2.07,11.9
2,4,35.0000,2.24,18.8
2,2,35.0000,2.36,19.8
2,3,35.0000,4.12,34.6
2,3,36.0717,1.18,9.25
2,4,36.0000,4.12,34.6
2,2,36.0000,4.12,34.6
2,2,36.8268,0.686,6.95
2,4,37.2124,4.72,32.7
3,2,1.0000,4.00,33.6
3,4,1.0000,2.75,23.1
3,1,1.0000,4.63,38.8
3,3,1.0000,5.50,46.1
3,2,2.0000,3.25,27.3
3,4,2.0000,1.88,15.7
3,1,2.0000,3.50,29.4
3,3,2.0000,3.75,31.5
3,1,3.0000,2.75,23.1
3,2,3.0000,4.00,33.6
3,3,3.0000,2.75,23.1
3,4,3.0000,2.50,21.0
3,2,4.0000,2.47,20.7
3,3,4.0000,2.75,23.1
3,4,4.0000,1.75,14.7
3,1,4.0000,3.90,32.7
3,3,5.0000,2.46,20.6
3,4,5.0000,2.05,17.2
3,1,5.0000,2.75,23.1
3,2,5.0000,3.67,30.7
3,3,6.0000,4.17,35.0
3,4,6.0000,1.80,15.1
3,1,6.0000,3.79,31.8
3,2,6.0000,3.23,27.1
3,1,7.0000,2.75,23.1
3,3,7.0000,2.66,22.3
3,4,7.0000,1.99,16.7
3,2,7.0000,2.68,22.5
3,1,8.0000,4.12,34.6
3,4,8.0000,2.24,18.8
3,3,8.0000,2.42,20.3
3,2,8.0000,2.41,20.3
3,1,9.0000,4.00,33.6
3,4,9.0000,2.05,17.2
3,3,9.0000,2.61,21.9
3,2,9.0000,2.42,20.3
3,1,10.0000,4.12,34.6
3,3,10.0000,2.61,21.9
3,4,10.0000,1.99,16.7
3,2,10.0000,1.99,16.7
3,1,11.0000,2.75,23.1
3,4,11.0000,2.24,18.8
3,3,11.0000,2.11,17.7
3,2,11.0000,2.55,21.4
3,1,12.0000,4.12,34.6
3,3,12.0000,2.55,21.4
3,4,12.0000,2.42,20.3
3,2,12.0000,2.55,21.4
3,2,13.0000,1.18,9.90
3,1,13.0000,4.12,34.6
3,4,13.0000,1.92,16.1
3,3,13.0000,2.61,21.9
3,2,14.0000,1.92,16.1
3,1,14.0000,4.00,33.6
3,3,14.0000,2.17,18.2
3,4,14.0000,2.18,18.3
3,2,15.0000,2.67,22.4
3,1,15.0000,4.12,34.6
3,3,15.0000,2.49,20.9
3,4,15.0000,2.36,19.8
3,2,16.0000,2.55,21.4
3,1,16.0000,4.12,34.6
3,3,16.0000,2.67,22.4
3,4,16.0000,1.92,16.1
3,3,17.0000,2.12,17.8
3,4,17.0000,2.49,20.9
3,1,17.0000,4.12,34.6
3,2,17.0000,3.43,28.7
3,1,18.0000,2.66,22.3
3,3,18.0000,2.24,18.8
3,4,18.0000,1.54,12.9
3,2,18.0000,2.05,17.2
3,3,19.0000,2.17,18.2
3,2,19.0000,2.75,23.1
3,4,19.0000,2.36,19.8
3,1,19.0000,4.12,34.6
3,2,20.0000,2.75,23.1
3,3,20.0000,2.24,18.8
3,4,20.0000,1.86,15.6
3,1,20.0000,2.75,23.1
3,4,21.0000,1.87,15.7
3,1,21.0000,3.64,30.5
3,2,21.0000,4.13,34.6
3,3,21.0000,3.29,27.6
3,4,22.0000,2.29,19.3
3,1,22.0000,4.12,34.6
3,2,22.0000,2.42,20.3
3,3,22.0000,2.61,21.9
3,1,23.0000,2.75,23.1
3,4,23.0000,2.17,18.2
3,2,23.0000,2.55,21.4
3,3,23.0000,2.61,21.9
3,4,24.0000,2.24,18.8
3,1,24.0000,4.12,34.6
3,2,24.0000,2.49,20.9
3,3,24.0000,2.49,20.9
3,1,25.0000,2.75,23.1
3,4,25.0000,2.24,18.8
3,2,25.0000,2.48,20.8
3,3,25.0000,2.61,21.9
3,4,26.0000,2.11,17.7
3,1,26.0000,4.12,34.6
3,2,26.0000,2.36,19.8
3,3,26.0000,2.24,18.8
3,4,27.0000,2.30,19.3
3,1,27.0000,4.00,33.6
3,2,27.0000,2.73,22.9
3,3,27.0000,2.75,23.1
3,4,28.0000,2.05,17.2
3,1,28.3405,1.25,7.84
3,2,28.0000,2.24,18.8
3,3,28.0000,2.47,20.7
3,3,29.0000,2.43,20.4
3,4,29.0000,2.49,20.9
3,2,29.0000,2.75,23.1
3,3,30.0000,4.12,34.6
3,2,30.0000,4.12,34.6
3,4,30.0000,4.12,34.6
3,4,31.0000,2.75,23.1
3,2,31.0000,4.12,34.6
3,3,31.0000,4.12,34.6
3,2,32.0000,2.75,23.1
3,3,32.0000,4.12,34.6
3,4,32.0000,4.12,34.6
3,3,33.0000,2.75,23.1
3,4,33.0000,2.75,23.1
3,2,33.0000,4.12,34.6
3,3,34.0000,4.12,34.6
3,2,34.0000,4.00,33.6
3,4,34.0000,4.12,34.6
3,4,35.0000,2.62,22.0
3,3,35.3516,2.21,13.7
3,2,35.4962,2.20,12.3
3,4,36.0000,8.25,69.2
3,4,37.1847,9.17,65.0
3,4,1.0000,2.75,23.1
3,3,1.0000,2.75,23.1
3,2,1.0000,5.00,41.9
3,1,1.0000,5.50,46.1
3,2,2.0000,3.50,29.4
3,1,2.0000,3.75,31.5
3,4,2.0000,2.62,22.0
3,3,2.0000,2.62,22.0
3,4,3.0000,1.75,14.7
3,3,3.0000,1.75,14.7
3,1,3.0000,4.12,34.6
3,2,3.0000,4.12,34.6
3,2,4.0000,2.75,23.1
3,1,4.0000,4.12,34.6
3,4,4.0000,3.00,25.2
3,3,4.0000,3.00,25.2
3,1,5.0000,2.75,23.1
3,2,5.0000,4.08,34.2
3,4,5.0000,2.11,17.7
3,3,5.0000,2.24,18.8
3,2,6.0000,2.75,23.1
3,1,6.0000,2.55,21.4
3,4,6.0000,1.79,15.1
3,3,6.0000,1.67,14.0
3,2,7.0000,3.02,25.4
3,3,7.0000,1.74,14.6
3,4,7.0000,2.61,21.9
3,1,7.0000,5.73,48.1
3,1,8.0000,2.75,23.1
3,4,8.0000,2.75,23.1
3,2,8.0000,2.16,18.2
3,3,8.0000,1.24,10.4
3,2,9.0000,2.74,23.0
3,4,9.0000,4.12,34.6
3,1,9.0000,4.06,34.1
3,3,9.0000,0.931,7.81
3,1,10.0000,2.75,23.1
3,4,10.0000,4.00,33.6
3,3,10.0000,0.870,7.30
3,2,10.0000,2.97,24.9
3,4,11.0000,3.62,30.3
3,3,11.0000,0.871,7.31
3,1,11.0000,5.66,47.5
3,2,11.0000,2.30,19.3
3,3,12.0000,0.993,8.33
3,4,12.0000,5.50,46.1
3,1,12.0000,4.12,34.6
3,2,12.0000,1.55,13.0
3,1,13.0000,2.62,22.0
3,4,13.0000,4.12,34.6
3,3,13.0000,0.932,7.82
3,2,13.0000,1.68,14.1
3,1,14.0000,4.12,34.6
3,4,14.0000,4.12,34.6
3,3,14.0000,0.994,8.34
3,2,14.0000,1.30,10.9
3,4,15.0000,4.12,34.6
3,1,15.0000,4.12,34.6
3,3,15.0000,0.870,7.30
3,2,15.0000,1.86,15.6
3,4,16.0000,5.38,45.1
3,3,16.0000,0.932,7.82
3,1,16.0000,4.12,34.6
3,2,16.0000,1.30,10.9
3,1,17.0000,2.54,21.3
3,4,17.0000,4.12,34.6
3,3,17.0000,0.870,7.30
3,2,17.0000,1.74,14.6
3,1,18.0000,4.12,34.6
3,4,18.0000,5.50,46.1
3,3,18.0000,0.807,6.77
3,2,18.0000,1.43,12.0
3,4,19.0000,4.12,34.6
3,1,19.0000,4.09,34.3
3,3,19.0000,0.995,8.35
3,2,19.0000,1.43,12.0
3,1,20.0000,2.53,21.2
3,4,20.0000,5.38,45.1
3,3,20.0000,1.06,8.87
3,2,20.0000,1.87,15.7
3,2,21.0000,0.557,4.67
3,1,21.0000,4.12,34.6
3,4,21.0000,4.12,34.6
3,3,21.0000,0.993,8.33
3,2,22.0000,1.49,12.5
3,4,22.0000,4.12,34.6
3,1,22.0000,3.96,33.2
3,3,22.0000,1.49,12.5
3,4,23.0000,3.30,27.7
3,2,23.0000,1.87,15.7
3,3,23.0000,0.930,7.80
3,1,23.0000,3.73,31.3
3,4,24.0000,4.62,38.8
3,2,24.0000,1.80,15.1
3,1,24.0000,2.75,23.1
3,3,24.0000,1.93,16.2
3,1,25.0000,2.75,23.1
3,2,25.0000,1.80,15.1
3,4,25.0000,4.12,34.6
3,3,25.0000,1.43,12.0
3,2,26.0000,2.18,18.3
3,4,26.0000,4.12,34.6
3,1,26.0000,4.12,34.6
3,3,26.0000,1.37,11.5
3,2,27.0000,1.68,14.1
3,4,27.2124,2.07,14.3
3,3,27.0000,1.74,14.6
3,1,27.5188,2.39,13.2
3,3,28.0000,2.18,18.3
3,2,28.0000,5.37,45.0
3,3,29.0000,4.12,34.6
3,2,29.0000,6.75,56.6
3,2,30.0000,6.88,57.7
3,3,30.0000,5.38,45.1
3,2,31.0000,5.50,46.1
3,3,31.0000,4.12,34.6
3,2,32.0000,6.88,57.7
3,3,32.0000,4.12,34.6
3,3,33.0000,4.12,34.6
3,2,33.0000,6.75,56.6
3,2,33.6468,0.933,12.1
3,3,34.0000,5.50,46.1
3,3,35.0000,6.75,56.6
3,3,36.0000,6.88,57.7
3,3,37.0000,8.25,69.2
3,3,38.0000,8.12,68.2
3,3,38.6201,2.43,32.8
5,2,1.0000,4.38,36.7
5,3,1.0000,4.25,35.7
5,1,1.0000,5.00,41.9
5,4,1.0000,4.63,38.8
5,1,2.0000,2.38,19.9
5,3,2.0000,3.38,28.3
5,2,2.0000,3.38,28.3
5,4,2.0000,3.50,29.4
5,3,3.0000,2.75,23.1
5,2,3.0000,2.68,22.5
5,1,3.0000,3.97,33.3
5,4,3.0000,2.68,22.5
5,3,4.0000,2.54,21.3
5,2,4.0000,2.48,20.8
5,1,4.0000,2.43,20.4
5,4,4.0000,2.74,23.0
5,3,5.0000,2.48,20.8
5,1,5.0000,2.42,20.3
5,2,5.0000,2.73,22.9
5,4,5.0000,2.10,17.6
5,4,6.0000,2.56,21.5
5,1,6.0000,3.72,31.2
5,3,6.0000,3.67,30.8
5,2,6.0000,3.17,26.6
5,4,7.0000,2.61,21.9
5,1,7.0000,2.48,20.8
5,2,7.0000,2.55,21.4
5,3,7.0000,2.53,21.3
5,4,8.0000,2.61,21.9
5,1,8.0000,2.75,23.1
5,3,8.0000,2.68,22.5
5,2,8.0000,2.73,22.9
5,4,9.0000,2.66,22.4
5,1,9.0000,2.53,21.2
5,2,9.0000,2.62,22.0
5,3,9.0000,2.55,21.4
5,1,10.0000,2.75,23.1
5,4,10.0000,2.67,22.4
5,2,10.0000,2.54,21.3
5,3,10.0000,2.73,22.9
5,1,11.0000,2.75,23.1
5,4,11.0000,2.55,21.4
5,2,11.0000,2.62,22.0
5,3,11.0000,2.61,21.9
5,1,12.0000,2.52,21.1
5,4,12.0000,2.73,22.9
5,2,12.0000,2.73,22.9
